Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58950674,"Eyes of the Void (The Final Architecture, #2)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1668604906""","=""9781668604908""",0,4.22,Orbit,Audiobook,,2022,2022,,2023/07/18,,,read,,,,1,0
61398009,Just Like Being There: A Collection of Science Fiction Short Stories (Science and Fiction),Eric Choi,"Choi, Eric",,"=""3030916049""","=""9783030916046""",0,4.80,Springer,Paperback,313,2022,,,2023/07/18,sci-fi,sci-fi (#20),read,,,,1,0
128763238,At the Mountains of Madness and Other Tales of Horror,H.P. Lovecraft,"Lovecraft, H.P.",,"=""""","=""""",0,4.26,Beagle Books,Mass Market Paperback,,1971,1981,,2023/07/18,,,read,,,,1,0
160149,The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,"Lovecraft, H.P.",S.T. Joshi,"=""0141182342""","=""9780141182346""",0,4.17,Penguin Classics,Paperback,420,1999,1926,,2023/07/18,,,read,,,,1,0
62873999,Translation State (Imperial Radch),Ann Leckie,"Leckie, Ann",,"=""031628971X""","=""9780316289719""",0,4.31,Orbit,Hardcover,422,2023,2023,,2023/07/18,sci-fi,sci-fi (#19),read,,,,1,0
827,"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,"Stephenson, Neal",,"=""0553380966""","=""9780553380965""",0,4.16,Spectra,Paperback,499,2000,1995,,2023/07/18,"sci-fi, cyberpunk, dystopia","sci-fi (#18), cyberpunk (#1), dystopia (#1)",read,,,,1,0
58700918,Terry Pratchett: A Life With Footnotes: The Official Biography,Rob  Wilkins,"Wilkins, Rob",,"=""0857526634""","=""9780857526632""",0,4.71,Doubleday,Hardcover,435,2022,2022,,2023/07/18,"nonfiction, biography","nonfiction (#1), biography (#1)",read,,,,1,0
60321430,Tread of Angels,Rebecca Roanhorse,"Roanhorse, Rebecca",,"=""1982166185""","=""9781982166182""",0,3.49,Saga Press,Hardcover,201,2022,2022,,2023/07/18,,,read,,,,1,0
57693308,Spear,Nicola Griffith,"Griffith, Nicola",,"=""1250819326""","=""9781250819321""",0,4.10,Tordotcom,Hardcover,184,2022,2022,,2023/07/18,"temporal-historical-fiction, fantasy, sword-and-sorcery-fantasy","temporal-historical-fiction (#1), fantasy (#1), sword-and-sorcery-fantasy (#2)",read,,,,1,0
56179377,Nettle & Bone,T. Kingfisher,"Kingfisher, T.",,"=""1250244048""","=""9781250244048""",0,4.18,Tor Books,Hardcover,245,2022,2022,,2023/07/18,english-language-learning-track-1-5,english-language-learning-track-1-5 (#14),read,,,,1,0
59808603,The Mountain in the Sea,Ray Nayler,"Nayler, Ray",,"=""0374605955""","=""9780374605957""",0,4.02,MCD,Hardcover,456,2022,2022,,2023/07/18,sci-fi,sci-fi (#17),read,,,,1,0
25895521,Illuminations,T. Kingfisher,"Kingfisher, T.",,"=""""","=""9781614505778""",0,4.16,Red Wombat Studio,ebook,270,2022,2022,,2023/05/06,"to-read, bsfa-2023-young-reader","to-read (#33), bsfa-2023-young-reader (#5)",to-read,,,,0,0
60310739,Unraveller,Frances Hardinge,"Hardinge, Frances",,"=""1419759310""","=""9781419759314""",0,4.17,Harry N. Abrams,Hardcover,432,2023,2023,,2023/05/06,"to-read, bsfa-2023-young-reader","to-read (#32), bsfa-2023-young-reader (#4)",to-read,,,,0,0
58795554,Mindwalker,Kate Dylan,"Dylan, Kate",,"=""""","=""978152939268""",0,4.12,Hodder Books,,315,2022,2022,,2023/05/06,"to-read, bsfa-2023-young-reader","to-read (#31), bsfa-2023-young-reader (#3)",to-read,,,,0,0
